stock_ticker,sic
0051B,6099
0051B,6099
1974B,4210
1974B,4210
2091B,7389
2373B,5940
3688B,6211
3CCIKO,6798
3CCIKO,6798
3OTRKA,3711
3UALAQ,4512
3WWYWB,2060
4741B,2060
4741B,2060
4764B,3021
4764B,3021
4800B,4812
4910B,1531
5235B,6200
5235B,6200
5236B,6200
5236B,6200
5237B,6200
5237B,6200
5238B,6200
5238B,6200
6525B,2011
6712B,3674
6712B,3674
9297B,2844
9297B,2844
A,3826
A,3826
AA,3334
AAL,4512
AAMRQ,4512
AAP,5531
AAP,5531
AAPL,3663
AAPL,3663
ABBV,2836
ABGX,2836
ABMD,3841
ABNB,7000
ABT,3845
ABT,3845
ACAD,2836
ACAS,6797
ACE.PC,6331
ACF,6141
ACI,5411
ACS,7374
ACS,7374
ACT,6351
ADBE,7370
ADBE,7370
ADI,3674
ADI,3674
ADM,2070
ADM,2070
ADP,7374
ADP,7374
ADRX,5122
ADSK,7370
ADSK,7370
ADT,7380
ADTN,3661
AEE,4931
AEE,4931
AEF.3,6324
AEO,5600
AEO,5600
AEP,4911
AEP,4911
AEP.Z,4911
AEPPL,4911
AEPPZ,4911
AES,4991
AES,4991
AESC,4991
AET,6324
AET,6324
AFCI,3661
AFFX,3826
AFL,6321
AFL,6321
AFRM,6141
AFS,6141
AG.,1040
AGCO,3523
AGN,2834
AGN,2834
AGP,6324
AHC.2,1311
AI,7370
AIG,6331
AIG,6331
AIZ,6351
AJG,6411
AKAM,7370
AKAM,7370
AKS,3312
AKS,3312
ALB,2810
ALGN,3843
ALK,4512
ALKS,2836
ALL,6331
ALL,6331
ALLY,6172
ALNY,2836
ALR,8051
ALTR,7372
ALV,3714
ALXN,2836
AMAT,3559
AMAT,3559
AMC,7830
AMCC,3674
AMD,3674
AMD,3674
AME,3823
AMG,6282
AMG,6282
AMGN,2836
AMGN,2836
AMLN,2834
AMLN,2834
AMP,6282
AMP,6282
AMR,1220
AMT,6798
AMT,6798
AMTD,6200
AMZN,5961
